2023-09-16T15:09:02.633+0530 [INFO]  provider: configuring client automatic mTLS
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_schemas_registry @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_cognito_user_in_group tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_s3outposts_endpoint tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_ec2_transit_gateway_route_table @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_rpc=GetProviderSchema @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.162+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_resource_type=aws_iot_thing_principal_attachment @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_rpc=GetProviderSchema @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_media_store_container @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.163+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_sesv2_configuration_set_event_destination @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema tf_mux_provider=*schema.GRPCProviderServer tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_timestreamwrite_database @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_autoscaling_policy tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_resource_type=aws_codecommit_approval_rule_template_association tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_rpc=GetProviderSchema tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_codecommit_repository @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_mux_provider=*schema.GRPCProviderServer tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_ec2_capacity_reservation tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 @module=sdk.helper_schema timestamp=2023-09-16T15:09:03.163+0530
2023-09-16T15:09:03.164+0530 [TRACE] provider.terraform-provider-aws_v5.16.1_x5.exe: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=cf3d086a-ac31-4a82-a9a6-6efc45abc028 tf_resource_type=aws_s3control_object_lambda_access_point_policy @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.29.0/helper/schema/grpc_provider.go:122 tf_rpc=GetProviderSchema @module=sdk.helper_schema tf_mux_provider=*schema.GRPCProviderServer timestamp=2023-09-16T15:09:03.163+0530
